,sehir,ilce,akp,mhp,bbp,yrefah,chp,iyip,ysp,tip,zafer,memleket,rte,kk,so,mi,akp_2018,mhp_2018,chp_2018,iyip_2018,sp_2018,hdp_2018,vp_2018,hudapar_2018,rte_2018,mi_2018,ma_2018,sd_2018,tk_2018,dp_2018,secmen_sayisi_2023,gecerli_oy_sayisi_2023,katilim_orani_2023,secmen_sayisi_2018,gecerli_oy_sayisi_2018,katilim_orani_2018
837,sinop,SARAYDÜZÜ,53.09,19.33,1.67,3.02,12.73,5.96,0.1,0.29,0.79,0.27,76.3,18.6,4.0,1.0,71.13,8.65,9.58,7.0,1.83,0.48,0.78,0.55,78.7,12.0,7.5,0.4,0.9,0.4,4955.0,4060.0,86.9,4604.0,3948.0,89.7
838,sinop,TÜRKELİ,47.9,23.04,2.38,2.59,12.39,6.46,0.31,0.42,1.38,0.72,76.6,18.0,4.6,0.8,73.38,7.75,11.25,5.37,1.03,0.56,0.36,0.31,80.3,13.6,4.8,0.3,0.8,0.2,12510.0,10057.0,82.9,11408.0,9447.0,85.6
839,sivas,AKINCILAR,44.01,24.79,3.65,2.78,13.95,6.2,0.43,0.09,3.13,0.35,76.3,20.1,3.2,0.4,68.54,8.37,14.96,5.64,1.14,0.81,0.27,0.24,76.3,17.0,5.0,0.4,1.2,0.1,4124.0,3450.0,85.4,4307.0,3680.0,88.0
840,sivas,ALTINYAYLA,40.73,28.19,10.22,4.28,10.45,2.68,0.14,0.18,1.08,0.45,82.4,13.6,3.8,0.1,70.79,16.54,7.38,3.03,1.93,0.21,0.04,0.07,86.6,8.7,2.7,0.1,1.7,0.1,6424.0,5532.0,87.3,6554.0,5690.0,88.3
841,sivas,DİVRİĞİ,14.79,8.35,5.65,1.13,53.38,8.23,3.89,2.51,0.8,0.24,28.9,68.9,2.1,0.2,20.75,5.56,60.18,3.18,0.62,9.42,0.18,0.1,25.4,70.1,2.7,1.3,0.3,0.2,13283.0,11923.0,91.3,13734.0,12418.0,92.8
842,sivas,DOĞANŞAR,63.91,18.82,3.29,4.37,3.24,4.16,0.05,0.0,1.08,0.72,88.9,6.7,4.1,0.3,77.41,14.14,2.68,3.77,1.77,0.0,0.09,0.14,90.5,3.5,4.3,0.1,1.4,0.1,2303.0,1942.0,85.5,2554.0,2184.0,87.7
843,sivas,GEMEREK,30.26,21.31,7.36,2.24,25.67,8.89,0.27,0.29,2.15,0.54,57.1,35.0,7.4,0.6,41.68,19.9,24.88,10.61,1.39,0.98,0.32,0.2,58.7,30.1,9.7,0.3,0.9,0.3,17055.0,14094.0,85.0,17537.0,14558.0,86.0
844,sivas,GÖLOVA,55.27,17.52,7.45,2.33,9.97,5.41,0.14,0.09,0.9,0.33,82.0,15.3,2.3,0.4,73.86,8.87,9.53,4.96,1.61,0.87,0.17,0.13,82.5,11.1,4.2,0.4,1.5,0.1,2736.0,2105.0,78.6,2713.0,2292.0,86.5
845,sivas,GÜRÜN,41.71,17.03,4.99,4.41,18.32,9.46,0.31,0.36,2.13,0.59,65.9,27.4,6.3,0.3,49.44,18.74,16.69,10.26,2.45,2.06,0.23,0.08,66.3,21.8,9.5,0.5,1.8,0.1,13851.0,11630.0,85.5,14254.0,11953.0,86.0
846,sivas,HAFİK,35.08,16.32,5.94,4.32,30.35,5.4,0.33,0.23,0.77,0.42,60.4,36.4,3.0,0.2,44.09,11.28,36.71,3.4,1.92,2.17,0.21,0.2,54.1,40.8,3.1,0.2,1.6,0.1,7164.0,6416.0,91.1,8236.0,7614.0,94.4
